# Total counts:		500000	500000	500000
#
"cluster"	"supercluster"	"VGR"	"VVL"	"VCR"
14696	14579	0	3	0
14697	14580	0	0	3
14698	14581	0	0	3
14699	14582	0	0	3
14700	14583	3	0	0
14701	14584	3	0	0
14702	14585	0	0	3
14703	14586	0	1	2
14704	14587	0	2	1
14705	14588	0	0	3
14706	14589	0	3	0
14707	14590	0	2	1
14708	14591	0	3	0
14709	14592	3	0	0
14710	14593	0	0	3
14711	14595	0	0	3
14712	14596	0	0	3
14713	14597	0	0	3
14714	14598	3	0	0
14715	14599	3	0	0
14716	14600	0	1	2
14717	14601	0	0	3
14718	14602	0	0	3
14719	14603	1	0	2
14720	14604	0	3	0
14721	14605	0	1	2
14722	14606	0	0	3
14723	14607	0	0	3
14724	14608	0	0	3
14725	14609	3	0	0
14726	14610	3	0	0
14727	14611	0	0	3
14728	14612	3	0	0
14729	14613	0	0	3
14730	14614	3	0	0
14731	14615	3	0	0
14732	14616	0	0	3
14733	14617	3	0	0
14734	14618	0	1	2
14735	14619	0	2	1
14736	14620	0	0	3
14737	14621	0	2	1
14738	14622	0	0	3
14739	14623	0	0	3
14740	14624	0	0	3
14741	14625	0	1	2
14742	14626	0	3	0
14743	14627	0	0	3
14744	14628	1	0	2
14745	14629	0	1	2
14746	14630	0	3	0
14747	14631	0	0	3
14748	14632	0	0	3
14749	14633	0	0	3
14750	14634	3	0	0
14751	14635	0	2	1
14752	14636	2	0	1
14753	14637	0	3	0
14754	14638	1	2	0
14755	14639	0	2	1
14756	14640	3	0	0
14757	14641	0	1	2
14758	14642	0	3	0
14759	14644	3	0	0
14760	14645	0	3	0
14761	14646	0	3	0
14762	14647	0	3	0
14763	14648	3	0	0
14764	14649	1	0	2
14765	14650	3	0	0
14766	14651	0	0	3
14767	14652	3	0	0
14768	14653	3	0	0
14769	14654	3	0	0
14770	14655	2	0	1
14771	14656	0	0	3
14772	14657	3	0	0
14773	14658	3	0	0
14774	14659	0	0	3
14775	14660	0	2	1
14776	14661	0	0	3
14777	14662	3	0	0
14778	14663	0	0	3
14779	14664	0	1	2
14780	14665	0	3	0
14781	14666	1	0	2
14782	14667	0	2	1
14783	14668	1	1	1
14784	14669	3	0	0
14785	14670	3	0	0
14786	14671	0	2	1
14787	14672	3	0	0
14788	14673	0	2	1
14789	14674	0	2	1
14790	14675	3	0	0
14791	14676	0	0	3
14792	14677	0	3	0
14793	14678	3	0	0
14794	14679	0	1	2
14795	14680	2	0	1
14796	14681	0	0	3
14797	14682	0	0	3
14798	14683	3	0	0
14799	14684	0	0	3
14800	14685	0	3	0
14801	14686	0	0	3
14802	14687	3	0	0
14803	14688	0	2	1
14804	14689	0	3	0
14805	14690	0	2	1
14806	14691	0	1	2
14807	14692	3	0	0
14808	14693	0	3	0
14809	14694	1	0	2
14810	14695	0	1	2
14811	14696	0	2	1
14812	14697	0	3	0
14813	14698	0	2	1
14814	14699	0	1	2
14815	14700	3	0	0
14816	14701	3	0	0
14817	14702	0	0	3
14818	14703	0	1	2
14819	14704	0	0	3
14820	14705	0	3	0
14821	14706	0	0	3
14822	14707	3	0	0
14823	14708	0	3	0
14824	14709	0	3	0
14825	14710	1	2	0
14826	14711	0	0	3
14827	14712	0	0	3
14828	14713	0	3	0
14829	14714	0	0	3
14830	14715	0	3	0
14831	14716	0	1	2
14832	14717	2	0	1
14833	14718	2	0	1
14834	14719	0	3	0
14835	14720	0	1	2
14836	14721	1	0	2
14837	14722	0	1	2
14838	14723	0	3	0
14839	14724	3	0	0
14840	14725	0	2	1
14841	14726	0	3	0
14842	14727	0	0	3
14843	14728	0	1	2
14844	14729	1	2	0
14845	14730	0	3	0
14846	14731	0	0	3
14847	14732	3	0	0
14848	14733	0	3	0
14849	14734	3	0	0
14850	14643	0	0	3
14851	14735	0	3	0
14852	14736	3	0	0
14853	14737	0	2	1
14854	14738	3	0	0
14855	14739	0	3	0
14856	14740	0	0	3
14857	14741	0	3	0
14858	14742	0	3	0
14859	14743	0	2	1
14860	14744	0	1	2
14861	14745	0	3	0
14862	14746	0	2	1
14863	14747	0	0	3
14864	14748	0	0	3
14865	14749	0	2	1
14866	14750	0	3	0
14867	14751	0	3	0
14868	14752	3	0	0
14869	14753	0	0	3
14870	14754	0	1	2
14871	14755	3	0	0
14872	14756	3	0	0
14873	14757	0	1	2
14874	14758	3	0	0
14875	14759	0	0	3
14876	14760	0	2	1
14877	14761	0	1	2
14878	14762	0	3	0
14879	14763	2	1	0
14880	14764	3	0	0
14881	14765	0	0	3
14882	14766	0	0	3
14883	14767	3	0	0
14884	14768	0	3	0
14885	14769	0	0	3
14886	14770	0	0	3
14887	14771	0	0	3
14888	14772	0	0	3
14889	14773	3	0	0
14890	14774	0	0	3
14891	14775	3	0	0
14892	14776	0	2	1
14893	14777	0	0	3
14894	14778	0	1	2
14895	14779	0	2	1
14896	14780	0	2	1
14897	14781	0	0	3
14898	14782	0	3	0
14899	14783	0	3	0
14900	14784	0	2	1
14901	14785	0	0	3
14902	14786	0	0	3
14903	14787	0	0	3
14904	14788	3	0	0
14905	14789	2	0	1
14906	14790	0	1	2
14907	14791	0	0	3
14908	14792	0	3	0
14909	14793	3	0	0
14910	14794	0	0	3
14911	14795	0	1	2
14912	14796	0	2	1
14913	14797	0	0	3
14914	14798	0	3	0
14915	14799	0	0	3
14916	14800	0	3	0
14917	14801	0	0	3
14918	14802	0	1	2
14919	14803	0	2	1
14920	14804	0	0	3
14921	14805	0	0	3
14922	14806	0	0	3
14923	14807	0	1	2
14924	14808	0	2	1
14925	14809	3	0	0
14926	14810	0	3	0
14927	14811	0	0	3
14928	14812	0	0	3
14929	14813	0	3	0
14930	14814	0	3	0
14931	14815	2	0	1
14932	14816	0	0	3
14933	14817	0	0	3
14934	14818	0	2	1
14935	14819	0	0	3
14936	14820	0	0	3
14937	14821	0	3	0
14938	14822	0	3	0
14939	14823	0	0	3
14940	14824	0	3	0
14941	14825	0	3	0
14942	14826	0	2	1
14943	14827	0	1	2
14944	14828	0	0	3
14945	14829	0	1	2
14946	14830	3	0	0
14947	14831	0	3	0
14948	14832	0	2	1
14949	14833	3	0	0
14950	14834	0	1	2
14951	14835	3	0	0
14952	14836	0	0	3
14953	14837	0	3	0
14954	14838	0	2	1
14955	14839	0	0	3
14956	14840	3	0	0
14957	14841	0	3	0
14958	14842	0	0	3
14959	12396	2	1	0
14960	14843	0	0	3
14961	14844	0	3	0
14962	14845	0	3	0
14963	14846	0	3	0
14964	14847	3	0	0
14965	14848	0	2	1
14966	14849	3	0	0
14967	14850	0	0	3
14968	14851	0	0	3
14969	14852	0	0	3
14970	14853	0	2	1
14971	14854	0	2	1
14972	14855	0	0	3
14973	14856	0	3	0
14974	14857	0	0	3
14975	14858	3	0	0
14976	14859	0	0	3
14977	14860	0	0	3
14978	14861	0	0	3
14979	14862	0	0	3
14980	14863	3	0	0
14981	14864	0	1	2
14982	14865	0	0	3
14983	14866	0	0	3
14984	14867	3	0	0
14985	14868	0	0	3
14986	14869	0	3	0
14987	14870	0	0	3
14988	14871	0	0	3
14989	14872	3	0	0
14990	14873	3	0	0
14991	14874	0	3	0
14992	14875	0	3	0
14993	15472	0	0	3
14994	14876	0	3	0
14995	14877	2	0	1
14996	14878	3	0	0
14997	14879	0	3	0
14998	14880	0	3	0
14999	14881	0	0	3
15000	14882	0	0	3
15001	14883	0	0	3
15002	14884	3	0	0
15003	14885	0	3	0
15004	14886	0	3	0
15005	14887	0	3	0
15006	14888	3	0	0
15007	14889	3	0	0
15008	14890	0	3	0
15009	14891	0	2	1
15010	14892	3	0	0
15011	14893	0	0	3
15012	14894	0	3	0
15013	14895	0	3	0
15014	14896	3	0	0
15015	14897	2	0	1
15016	14898	1	0	2
15017	14899	3	0	0
15018	14900	3	0	0
15019	14901	0	0	3
15020	14902	1	0	2
15021	14903	3	0	0
15022	14904	3	0	0
15023	14905	3	0	0
15024	14906	3	0	0
15025	14907	0	3	0
15026	14908	0	0	3
15027	14909	0	0	3
15028	14910	0	2	1
15029	14911	0	2	1
15030	14912	0	3	0
15031	14913	0	0	3
15032	14914	0	0	3
15033	14915	3	0	0
15034	14916	0	3	0
15035	14917	0	3	0
15036	14918	0	3	0
15037	14919	3	0	0
15038	14920	3	0	0
15039	14921	2	1	0
15040	14922	0	0	3
15041	14923	0	0	3
15042	14924	0	3	0
15043	14925	3	0	0
15044	14926	0	0	3
15045	14927	0	0	3
15046	14928	3	0	0
15047	14929	0	0	3
15048	14930	0	3	0
15049	14932	0	0	3
15050	14933	3	0	0
15051	14934	0	2	1
15052	14935	0	3	0
15053	14936	3	0	0
15054	14937	0	0	3
15055	14938	3	0	0
15056	14939	3	0	0
15057	14940	1	0	2
15058	14941	0	0	3
15059	14942	0	0	3
15060	14943	0	1	2
15061	14944	2	0	1
15062	14945	3	0	0
15063	14946	1	2	0
15064	14947	0	3	0
15065	14948	0	0	3
15066	14949	0	3	0
15067	14950	0	3	0
15068	14951	0	3	0
15069	14952	0	2	1
15070	14953	0	3	0
15071	14954	0	2	1
15072	14955	0	0	3
15073	14956	0	1	2
15074	14957	0	0	3
15075	14958	3	0	0
15076	14959	1	1	1
15077	14960	3	0	0
15078	14961	0	0	3
15079	14962	2	1	0
15080	14963	0	0	3
15081	14964	1	2	0
15082	14965	0	0	3
15083	14966	3	0	0
15084	14967	0	1	2
15085	14968	0	3	0
15086	14969	3	0	0
15087	14970	0	2	1
15088	14971	0	1	2
15089	14972	0	3	0
15090	14973	3	0	0
15091	14974	0	3	0
15092	14975	0	3	0
15093	14976	0	0	3
15094	14977	3	0	0
15095	14978	0	2	1
15096	14979	0	0	3
15097	14980	3	0	0
15098	14981	0	0	3
15099	14982	0	0	3
15100	14983	0	0	3
15101	14984	0	2	1
15102	14985	0	2	1
15103	14986	0	1	2
15104	14987	0	1	2
15105	14988	0	3	0
15106	14989	0	0	3
15107	14990	3	0	0
15108	14991	0	3	0
15109	14992	0	2	1
15110	14993	0	0	3
15111	14994	3	0	0
15112	14995	0	0	3
15113	14996	0	0	3
15114	14997	0	0	3
15115	14998	3	0	0
15116	14999	2	1	0
15117	15000	1	1	1
15118	15001	1	2	0
15119	15002	0	3	0
15120	15003	3	0	0
15121	15004	0	0	3
15122	15005	0	3	0
15123	15006	0	0	3
15124	15007	0	0	3
15125	15008	0	3	0
15126	15009	0	0	3
15127	15010	0	3	0
15128	15011	0	0	3
15129	15012	0	3	0
15130	15013	1	2	0
15131	15014	0	0	3
15132	15015	0	3	0
15133	15016	0	1	2
15134	15017	3	0	0
15135	15018	3	0	0
15136	15019	0	0	3
15137	15020	0	0	3
15138	15021	0	0	3
15139	15022	0	1	2
15140	15023	0	3	0
15141	15024	0	2	1
15142	15025	0	2	1
15143	15026	3	0	0
15144	15027	0	3	0
15145	15028	0	0	3
15146	15029	0	2	1
15147	15030	0	2	1
15148	15031	0	3	0
15149	15032	0	3	0
15150	15033	0	2	1
15151	15034	0	1	2
15152	15035	0	2	1
15153	15036	0	0	3
15154	15037	0	1	2
15155	15038	0	0	3
15156	15039	0	3	0
15157	15040	0	3	0
15158	15041	3	0	0
15159	15042	0	3	0
15160	15043	0	3	0
15161	15044	0	0	3
15162	15045	3	0	0
15163	15046	0	1	2
15164	15047	0	2	1
15165	15048	3	0	0
15166	15049	0	3	0
15167	15050	3	0	0
15168	15051	0	3	0
15169	15052	0	3	0
15170	15053	0	3	0
15171	15054	0	3	0
15172	15055	1	1	1
15173	15056	0	0	3
15174	15057	0	3	0
15175	15058	3	0	0
15176	15059	3	0	0
15177	15060	1	0	2
15178	15061	0	1	2
15179	15062	2	1	0
15180	15063	0	2	1
15181	15064	0	3	0
15182	15065	3	0	0
15183	15066	0	3	0
15184	15067	0	3	0
15185	15068	0	3	0
15186	15069	2	0	1
15187	15070	0	1	2
15188	15071	0	2	1
15189	15072	0	0	3
15190	15073	0	0	3
15191	15074	0	2	1
15192	15075	3	0	0
15193	15076	0	2	1
15194	15077	3	0	0
15195	15078	3	0	0
15196	15079	0	3	0
15197	15080	3	0	0
15198	15081	0	0	3
15199	15082	0	0	3
15200	15083	0	3	0
15201	15084	0	0	3
15202	15085	0	0	3
15203	15086	0	3	0
15204	15087	2	1	0
15205	15088	0	0	3
15206	15089	0	1	2
15207	15090	0	3	0
15208	15091	0	3	0
15209	15092	2	1	0
15210	15093	0	0	3
15211	15094	0	0	3
15212	15095	0	2	1
15213	15096	0	3	0
15214	15097	1	2	0
15215	15098	1	1	1
15216	15099	3	0	0
15217	15100	0	0	3
15218	15101	0	0	3
15219	15102	3	0	0
15220	15103	3	0	0
15221	15104	0	1	2
15222	15105	0	0	3
15223	15106	0	3	0
15224	15107	0	0	3
15225	15108	0	0	3
15226	15109	0	0	3
15227	15110	0	3	0
15228	15111	0	0	3
15229	15112	2	0	1
15230	15113	0	0	3
15231	15114	0	0	3
15232	15115	2	0	1
15233	15116	0	3	0
15234	15117	0	3	0
15235	15118	0	3	0
15236	15119	3	0	0
15237	15120	0	3	0
15238	15121	3	0	0
15239	15122	0	1	2
15240	15123	0	3	0
15241	15124	0	0	3
15242	15125	0	3	0
15243	15126	0	3	0
15244	15127	2	1	0
15245	12008	0	2	1
15246	15128	0	0	3
15247	15129	0	0	3
15248	15130	0	3	0
15249	15131	0	3	0
15250	15132	3	0	0
15251	15133	0	0	3
15252	15134	0	2	1
15253	15135	0	1	2
15254	15136	0	1	2
15255	15137	0	0	3
15256	15138	0	1	2
15257	15139	0	0	3
15258	15140	3	0	0
15259	15141	0	2	1
15260	15142	0	3	0
15261	15143	0	0	3
15262	15144	0	0	3
15263	15145	3	0	0
15264	15146	0	0	3
15265	15147	0	0	3
15266	15148	0	0	3
15267	15149	0	0	3
15268	15150	0	1	2
15269	15151	3	0	0
15270	15152	0	1	2
15271	15153	0	1	2
15272	15154	2	0	1
15273	15155	0	0	3
15274	15156	0	3	0
15275	15157	0	2	1
15276	15158	0	0	3
15277	15159	0	0	3
15278	15160	0	0	3
15279	15161	3	0	0
15280	15162	0	0	3
15281	15163	1	1	1
15282	15164	0	2	1
15283	15165	0	1	2
15284	15166	0	1	2
15285	15167	2	0	1
15286	15168	0	2	1
15287	15169	0	1	2
15288	15170	0	3	0
15289	15171	0	0	3
15290	15172	3	0	0
15291	15173	0	1	2
15292	15174	0	1	2
15293	15175	0	0	3
15294	15176	0	0	3
15295	15177	0	0	3
15296	15178	0	2	1
15297	15179	3	0	0
15298	15180	0	0	3
15299	15181	0	2	1
15300	15182	0	2	1
15301	15183	3	0	0
15302	15184	0	1	2
15303	15185	3	0	0
15304	15186	0	3	0
15305	15187	3	0	0
15306	15188	1	2	0
15307	15189	3	0	0
15308	15190	0	2	1
15309	15191	0	3	0
15310	15192	1	0	2
15311	15193	0	1	2
15312	15194	0	0	3
15313	15195	0	3	0
15314	15196	0	0	3
15315	15197	0	3	0
15316	15198	0	0	3
15317	15199	0	3	0
15318	15200	0	3	0
15319	15201	3	0	0
15320	15202	0	3	0
15321	15203	3	0	0
15322	15204	0	0	3
15323	15205	0	0	3
15324	15206	0	0	3
15325	15207	0	0	3
15326	15208	0	0	3
15327	15209	0	0	3
15328	15210	0	3	0
15329	15211	0	3	0
15330	15212	3	0	0
15331	15213	0	0	3
15332	15214	1	0	2
15333	15215	0	2	1
15334	15216	0	3	0
15335	15217	0	3	0
15336	15218	0	2	1
15337	15219	0	0	3
15338	15220	0	3	0
15339	15221	0	0	3
15340	15222	0	0	3
15341	15223	0	2	1
15342	15224	0	0	3
15343	15225	1	0	2
15344	15226	3	0	0
15345	15227	0	3	0
15346	15228	3	0	0
15347	15229	0	3	0
15348	15230	0	3	0
15349	15231	0	1	2
15350	15232	0	1	2
15351	15233	3	0	0
15352	15234	0	0	3
15353	15235	0	0	3
15354	15236	0	1	2
15355	15237	0	1	2
15356	15238	0	1	2
15357	15239	0	3	0
15358	15240	0	0	3
15359	15241	1	0	2
15360	15242	0	0	3
15361	15243	0	0	3
15362	15245	0	0	3
15363	15246	0	0	3
15364	15247	3	0	0
15365	15248	1	0	2
15366	15249	3	0	0
15367	15250	0	3	0
15368	15251	0	3	0
15369	15252	0	3	0
15370	15253	0	0	3
15371	15254	0	3	0
15372	15255	0	1	2
15373	15256	0	3	0
15374	15257	0	1	2
15375	15258	2	0	1
15376	15259	0	0	3
15377	15260	0	0	3
15378	15261	0	0	3
15379	15262	0	0	3
15380	15263	1	0	2
15381	15265	1	2	0
15382	15266	1	2	0
15383	15267	0	3	0
15384	15268	0	1	2
15385	15269	0	0	3
15386	15270	0	3	0
15387	15271	3	0	0
15388	15272	0	0	3
15389	15273	0	1	2
15390	15274	0	3	0
15391	15275	0	2	1
15392	15276	1	0	2
15393	15277	0	3	0
15394	15278	0	3	0
15395	15279	0	1	2
15396	15280	3	0	0
15397	15281	0	0	3
15398	15282	3	0	0
15399	15283	0	0	3
15400	15284	2	1	0
15401	15285	0	0	3
15402	15286	3	0	0
15403	15287	3	0	0
15404	15288	1	1	1
15405	15289	0	2	1
15406	15290	2	1	0
15407	15291	3	0	0
15408	15292	3	0	0
15409	15293	1	1	1
15410	15294	3	0	0
15411	15295	0	3	0
15412	15296	0	3	0
15413	15297	0	3	0
15414	15298	1	2	0
15415	15299	0	1	2
15416	15300	3	0	0
15417	15301	0	1	2
15418	15302	0	3	0
15419	15303	0	1	2
15420	15304	2	1	0
15421	15305	0	0	3
15422	15306	0	0	3
15423	15307	3	0	0
15424	15308	3	0	0
15425	15309	3	0	0
15426	15310	2	0	1
15427	15311	0	3	0
15428	15312	2	0	1
15429	15313	0	2	1
15430	15314	2	1	0
15431	15315	0	3	0
15432	15316	0	0	3
15433	15317	3	0	0
15434	15318	0	1	2
15435	15319	0	3	0
15436	15320	0	0	3
15437	15321	0	3	0
15438	15322	0	2	1
15439	15323	0	0	3
15440	15324	3	0	0
15441	15325	0	3	0
15442	15326	0	0	3
15443	15327	0	0	3
15444	15328	0	3	0
15445	15329	3	0	0
15446	15330	0	1	2
15447	15331	0	0	3
15448	15332	0	1	2
15449	15333	0	2	1
15450	15334	0	0	3
15451	15335	0	0	3
15452	15336	0	1	2
15453	15337	0	2	1
15454	15338	3	0	0
15455	15339	3	0	0
15456	15340	0	1	2
15457	15341	0	0	3
15458	15342	0	0	3
15459	15343	1	2	0
15460	15344	0	0	3
15461	15345	0	0	3
15462	15346	1	0	2
15463	15347	0	3	0
15464	15348	0	2	1
15465	15349	0	2	1
15466	15350	0	0	3
15467	15351	3	0	0
15468	15352	0	0	3
15469	15353	3	0	0
15470	15354	3	0	0
15471	15355	0	2	1
15472	15356	0	2	1
15473	15357	0	3	0
15474	15358	0	3	0
15475	15359	3	0	0
15476	15360	0	0	3
15477	15361	3	0	0
15478	15362	0	0	3
15479	15363	0	3	0
15480	15364	0	0	3
15481	15365	3	0	0
15482	15366	0	0	3
15483	15367	0	0	3
15484	15368	0	1	2
15485	15369	0	2	1
15486	15370	0	3	0
15487	15371	3	0	0
15488	15372	3	0	0
15489	15373	3	0	0
15490	15374	0	2	1
15491	15375	3	0	0
15492	15376	0	1	2
15493	15377	0	3	0
15494	15378	0	3	0
15495	15379	0	0	3
15496	15380	0	0	3
15497	15381	0	2	1
15498	15382	0	2	1
15499	15383	3	0	0
15500	15384	0	1	2
15501	15385	0	0	3
15502	15386	0	3	0
15503	15387	0	0	3
15504	15388	0	0	3
15505	15389	0	0	3
15506	15390	3	0	0
15507	15391	0	0	3
15508	15392	0	0	3
15509	15393	0	3	0
15510	15394	0	3	0
15511	15395	0	1	2
15512	15396	0	2	1
15513	15397	0	1	2
15514	15398	0	3	0
15515	15399	0	0	3
15516	15400	0	1	2
15517	15401	0	3	0
15518	15402	0	0	3
15519	15403	0	0	3
15520	15404	0	3	0
15521	15405	0	0	3
15522	15406	0	2	1
15523	15407	0	3	0
15524	15408	3	0	0
15525	15409	0	0	3
15526	15410	0	1	2
15527	15411	0	3	0
15528	15412	0	1	2
15529	15413	3	0	0
15530	15414	0	3	0
15531	15415	0	2	1
15532	15416	0	0	3
15533	15417	0	3	0
15534	15418	0	2	1
15535	15419	0	0	3
15536	15420	0	2	1
15537	15421	0	3	0
15538	15422	0	2	1
15539	15423	0	3	0
15540	15424	0	0	3
15541	15425	3	0	0
15542	15426	0	1	2
15543	15427	1	1	1
15544	15428	0	2	1
15545	15429	3	0	0
15546	15430	1	2	0
15547	15431	0	3	0
15548	15432	3	0	0
15549	15433	3	0	0
15550	15434	0	1	2
15551	15435	2	0	1
15552	15436	0	1	2
15553	15437	0	3	0
15554	15438	0	2	1
15555	15439	3	0	0
15556	15440	3	0	0
15557	15441	1	1	1
15558	15442	0	3	0
15559	15443	0	0	3
15560	15444	0	3	0
15561	15445	0	1	2
15562	15446	3	0	0
15563	15447	0	2	1
15564	15448	0	3	0
15565	15449	0	3	0
15566	15450	3	0	0
15567	15451	0	0	3
15568	15452	0	2	1
15569	15453	3	0	0
15570	15454	0	3	0
15571	15455	3	0	0
15572	15456	0	2	1
15573	15457	0	0	3
15574	15458	3	0	0
15575	15459	3	0	0
15576	15460	3	0	0
15577	15461	0	2	1
15578	15462	0	1	2
15579	15463	0	0	3
15580	15464	0	3	0
15581	15465	1	0	2
15582	15466	0	0	3
15583	15467	0	3	0
15584	15468	0	2	1
15585	15469	0	2	1
15586	15470	0	0	3
15587	15471	3	0	0
15588	15473	0	1	2
15589	15474	3	0	0
15590	15475	0	2	1
15591	15476	0	1	2
15592	15477	0	3	0
15593	15478	0	0	3
15594	15479	0	1	2
15595	15480	0	3	0
15596	15481	0	0	3
15597	15482	3	0	0
15598	15483	0	0	3
15599	15484	0	2	1
15600	15485	3	0	0
15601	15486	0	0	3
15602	15487	0	1	2
15603	15488	0	0	3
15604	15489	0	2	1
15605	15490	3	0	0
15606	15491	0	1	2
15607	15492	0	2	1
15608	15493	0	3	0
15609	15494	0	0	3
15610	15495	0	0	3
15611	15496	0	0	3
15612	15497	0	0	3
15613	15498	0	3	0
15614	15499	0	0	3
15615	15500	0	2	1
15616	15501	0	0	3
15617	15502	0	2	1
15618	15503	0	3	0
15619	15504	0	1	2
15620	15505	0	3	0
15621	15506	2	1	0
15622	15507	3	0	0
15623	15508	0	1	2
15624	15509	0	3	0
15625	15510	0	2	1
15626	15511	3	0	0
15627	15512	0	3	0
15628	15513	1	2	0
15629	15514	0	0	3
15630	15515	0	0	3
15631	15516	2	0	1
15632	15517	2	1	0
15633	15518	0	3	0
15634	15519	0	0	3
15635	15520	0	2	1
15636	15521	0	0	3
15637	15522	3	0	0
15638	15523	1	1	1
15639	15524	3	0	0
15640	15525	0	2	1
15641	15526	3	0	0
15642	15527	0	0	3
15643	15528	0	2	1
15644	15529	0	3	0
15645	15530	0	3	0
15646	15531	3	0	0
15647	10107	0	2	1
15648	15532	0	3	0
15649	15533	3	0	0
15650	15534	0	3	0
15651	15535	0	1	2
15652	15536	0	0	3
15653	15537	3	0	0
15654	15538	0	3	0
15655	15539	0	3	0
15656	15540	0	3	0
15657	15541	0	3	0
15658	15542	0	3	0
15659	15543	0	0	3
15660	15544	3	0	0
15661	15545	0	0	3
15662	15546	0	3	0
15663	15547	0	2	1
15664	15548	0	3	0
15665	15549	0	2	1
15666	15550	0	2	1
15667	15551	0	3	0
15668	15552	0	0	3
15669	15553	0	0	3
15670	15554	3	0	0
15671	15555	0	0	3
15672	15557	0	3	0
15673	15558	0	0	3
15674	15559	0	0	3
15675	15560	0	0	3
15676	15561	3	0	0
15677	15562	0	0	3
15678	15563	0	3	0
15679	15564	3	0	0
15680	15565	0	3	0
15681	15566	0	3	0
15682	15567	0	0	3
15683	15568	0	3	0
15684	15569	0	2	1
15685	15570	0	0	3
15686	15571	0	1	2
15687	15572	0	0	3
15688	15573	0	3	0
15689	15574	0	3	0
15690	15575	0	0	3
15691	15576	0	3	0
15692	15577	3	0	0
15693	15578	0	1	2
15694	15579	0	1	2
15695	15580	3	0	0
15696	15581	3	0	0
15697	15582	1	0	2
15698	15583	0	1	2
15699	15584	0	2	1
15700	15585	3	0	0
15701	15586	0	3	0
15702	15587	1	2	0
15703	15588	1	2	0
15704	15589	0	0	3
15705	15590	0	1	2
15706	15591	1	2	0
15707	15592	0	0	3
15708	15593	0	3	0
15709	15594	0	0	3
15710	15595	0	3	0
15711	15596	0	2	1
15712	15597	0	3	0
15713	15598	0	2	1
15714	15599	0	3	0
15715	15600	0	3	0
15716	15601	0	3	0
15717	15602	0	0	3
15718	15603	0	0	3
15719	15604	3	0	0
15720	15605	3	0	0
15721	15606	0	2	1
15722	15607	0	2	1
15723	15608	0	3	0
15724	15609	1	0	2
15725	15610	0	3	0
15726	15611	3	0	0
15727	15612	0	0	3
15728	15613	0	3	0
15729	15614	2	1	0
15730	15615	3	0	0
15731	15616	0	3	0
15732	15617	0	1	2
15733	15618	0	3	0
15734	15619	0	2	1
15735	15620	0	1	2
15736	15621	0	0	3
15737	15622	3	0	0
15738	15623	3	0	0
15739	15624	0	3	0
15740	15625	3	0	0
15741	15626	0	0	3
15742	15627	0	0	3
15743	15628	3	0	0
15744	15629	0	0	3
15745	15630	0	3	0
15746	15631	0	0	3
15747	15632	0	0	3
15748	15633	3	0	0
15749	15634	0	2	1
15750	15635	2	0	1
15751	15636	3	0	0
15752	15637	0	3	0
15753	15638	1	0	2
15754	15639	3	0	0
15755	15640	0	0	3
15756	15641	0	3	0
15757	15642	1	2	0
15758	15643	0	0	3
15759	15644	0	0	3
15760	15645	0	3	0
15761	15646	0	0	3
15762	15647	0	3	0
15763	15648	0	3	0
15764	15649	0	1	2
15765	15650	0	1	2
15766	15651	0	3	0
15767	15652	1	2	0
15768	15653	3	0	0
15769	15654	0	0	3
15770	15655	0	3	0
15771	15656	3	0	0
15772	15657	3	0	0
15773	15658	0	3	0
15774	15659	0	2	1
15775	15660	0	1	2
15776	15661	0	0	3
15777	15662	3	0	0
15778	15663	0	0	3
15779	15664	0	3	0
15780	15665	0	1	2
15781	15666	0	0	3
15782	15667	0	0	3
15783	15668	0	0	3
15784	15669	3	0	0
15785	15670	0	2	1
15786	15671	2	0	1
15787	15672	3	0	0
15788	15673	0	3	0
15789	15674	0	3	0
15790	15675	0	3	0
15791	15676	0	0	3
15792	15677	0	3	0
15793	15678	3	0	0
15794	15679	3	0	0
15795	15680	0	1	2
15796	15681	3	0	0
15797	15682	0	3	0
15798	15683	0	0	3
15799	15684	0	3	0
15800	15685	0	3	0
15801	15686	3	0	0
15802	15687	3	0	0
15803	15688	0	0	3
15804	15689	0	3	0
15805	15690	3	0	0
15806	15691	2	0	1
15807	15692	0	0	3
15808	15693	0	0	3
15809	15694	0	3	0
15810	15695	0	0	3
15811	15696	3	0	0
15812	15697	0	0	3
15813	15698	0	1	2
15814	15699	3	0	0
15815	15700	0	0	3
15816	15701	0	1	2
15817	15702	1	2	0
15818	15703	0	0	3
15819	15704	1	0	2
15820	15705	0	1	2
15821	15706	0	0	3
15822	15707	0	0	3
15823	15708	3	0	0
15824	15709	3	0	0
15825	15710	0	3	0
15826	15711	0	0	3
15827	15712	0	2	1
15828	15713	3	0	0
15829	15714	0	3	0
15830	15715	3	0	0
15831	15716	3	0	0
15832	15717	0	0	3
15833	15718	3	0	0
15834	15719	0	0	3
15835	15720	1	0	2
15836	15721	3	0	0
15837	15722	0	0	3
15838	15723	0	0	3
15839	15724	0	2	1
15840	15725	0	3	0
15841	15726	0	1	2
15842	15727	0	0	3
15843	15728	0	3	0
15844	15729	0	1	2
15845	15730	0	0	3
15846	15731	0	1	2
15847	11869	0	3	0
15848	15732	3	0	0
15849	15733	0	1	2
15850	15734	0	0	3
15851	15735	3	0	0
15852	15736	0	2	1
15853	15737	0	0	3
15854	15738	3	0	0
15855	15739	0	3	0
15856	15740	0	0	3
15857	15741	3	0	0
