# Total counts:		500000	500000	500000
#
"cluster"	"supercluster"	"VGR"	"VVL"	"VCR"
290	175	33	96	73
291	176	199	0	0
292	177	55	30	107
293	178	6	155	31
294	179	0	177	11
295	180	0	1	185
296	181	184	1	0
297	182	42	78	65
298	183	0	0	182
299	184	0	0	180
300	185	179	0	0
301	186	1	59	119
302	187	3	116	60
303	188	0	34	144
304	189	0	9	168
305	190	42	98	35
306	191	170	3	0
307	192	169	0	0
308	193	0	1	165
309	194	9	10	146
310	195	0	164	0
311	196	0	9	153
312	197	0	0	160
313	198	20	82	56
314	199	0	131	24
315	200	155	0	0
316	201	0	27	128
317	202	26	71	58
318	203	0	63	90
319	204	141	8	4
320	205	151	0	0
321	206	149	0	0
322	207	0	7	135
323	208	69	61	10
324	209	131	6	0
325	210	2	92	42
326	211	2	121	13
327	212	19	93	22
328	213	2	78	54
329	214	6	71	57
330	215	134	0	0
331	216	12	100	21
332	217	0	130	0
333	218	1	118	10
334	219	128	0	0
335	220	0	4	124
336	221	127	0	0
337	222	2	76	46
338	223	0	15	107
339	224	0	119	0
340	2	2	1	113
341	225	0	116	0
342	226	0	0	116
343	227	0	113	2
344	228	52	61	1
345	229	0	113	0
346	230	83	6	23
347	231	112	0	0
348	232	11	0	100
349	233	11	62	37
350	234	42	15	52
351	235	0	108	0
352	236	108	0	0
353	237	0	107	0
354	238	0	79	28
355	239	0	89	18
356	240	0	20	83
357	241	97	5	1
358	242	15	48	39
359	243	0	4	98
360	244	0	0	100
361	245	97	0	0
362	246	96	0	0
363	247	72	9	15
364	248	0	94	0
365	249	0	2	90
366	250	91	0	1
367	251	90	0	2
368	252	0	45	46
369	253	2	59	29
370	254	2	25	62
371	255	89	0	0
372	256	88	0	0
373	257	2	15	71
374	258	15	33	39
375	259	5	73	9
376	260	84	0	3
377	261	20	33	31
378	262	10	63	11
379	263	2	42	40
380	264	84	0	0
381	265	0	84	0
382	266	0	67	16
383	267	20	41	22
384	268	0	53	30
385	269	14	54	14
386	270	0	0	81
387	271	14	29	38
388	272	81	0	0
389	273	11	43	27
390	274	78	0	2
391	275	17	48	15
392	276	79	0	0
393	277	0	73	6
394	278	79	0	0
395	279	64	13	2
396	280	6	30	42
397	281	77	0	0
398	282	6	49	22
399	283	9	50	18
400	284	2	22	53
401	285	0	32	44
402	286	10	39	27
403	287	0	67	8
404	288	17	41	16
405	289	0	0	74
406	290	0	10	64
407	291	74	0	0
408	292	18	43	13
409	293	0	9	64
410	294	2	0	71
411	295	0	53	19
412	296	37	17	18
413	297	72	0	0
414	298	0	4	68
415	299	0	0	72
416	300	0	0	72
417	301	3	29	39
418	302	71	0	0
419	303	71	0	0
420	304	0	27	44
421	305	2	25	44
422	306	7	16	47
423	307	0	1	69
424	308	70	0	0
425	309	67	0	2
426	310	20	22	27
427	311	0	69	0
428	312	0	0	69
429	313	69	0	0
430	314	0	56	12
431	316	0	40	28
432	315	36	27	5
433	317	0	0	67
434	318	23	30	14
435	319	1	43	23
436	320	0	0	66
437	321	1	14	51
438	322	66	0	0
439	323	0	24	42
440	324	0	30	35
441	325	2	6	57
442	326	7	39	18
443	327	0	51	13
444	328	0	17	47
445	329	0	53	11
446	330	63	0	0
447	331	0	6	57
448	332	41	14	7
449	333	0	2	60
450	334	0	61	0
451	335	0	4	57
452	336	37	8	16
453	337	16	28	17
454	338	0	26	35
455	339	0	15	45
456	340	0	0	60
457	341	8	33	19
458	342	58	1	0
459	343	3	34	22
460	344	59	0	0
461	345	46	5	7
462	346	13	20	25
463	347	10	23	25
464	348	0	2	56
465	349	8	30	20
466	350	0	48	10
467	351	0	0	57
468	352	0	57	0
469	353	56	0	0
470	354	10	17	29
471	355	0	27	29
472	356	0	51	5
473	357	17	34	5
474	358	0	14	42
475	359	0	43	12
476	360	0	55	0
477	361	55	0	0
478	362	10	15	29
479	363	48	0	6
480	364	0	0	54
481	365	0	53	0
482	366	0	1	52
483	367	1	29	23
484	368	0	47	5
485	369	0	36	16
486	370	0	37	14
487	371	0	0	51
488	372	1	31	19
489	373	0	10	41
490	374	0	0	51
491	375	0	50	0
492	376	1	15	34
493	377	50	0	0
494	378	50	0	0
495	379	0	50	0
496	380	0	38	12
497	381	0	0	49
498	382	3	11	35
499	383	29	11	9
500	384	49	0	0
501	385	0	0	49
502	386	0	45	4
503	387	48	0	0
504	388	0	18	30
505	389	25	9	14
506	390	48	0	0
507	391	48	0	0
508	392	48	0	0
509	393	0	3	45
510	394	0	44	4
511	395	14	24	9
512	396	2	21	24
513	397	47	0	0
514	398	2	20	25
515	399	15	2	30
516	400	47	0	0
517	401	6	29	12
518	402	47	0	0
519	403	0	0	46
520	404	0	0	46
521	405	46	0	0
522	406	0	0	46
523	407	0	13	33
524	408	45	0	0
525	409	25	12	8
526	410	45	0	0
527	411	0	44	1
528	412	45	0	0
529	413	2	40	3
530	414	7	23	15
531	415	45	0	0
532	416	0	45	0
533	417	0	7	38
534	418	45	0	0
535	419	0	1	43
536	420	2	16	26
537	421	0	16	28
538	422	3	29	12
539	423	1	6	37
540	424	44	0	0
541	425	0	22	22
542	426	44	0	0
543	427	0	44	0
544	428	0	0	44
545	429	43	0	0
546	430	0	18	25
547	431	13	22	8
548	432	43	0	0
549	433	0	0	43
550	434	43	0	0
551	435	38	1	3
552	436	3	17	22
553	437	0	29	13
554	438	0	0	42
555	439	42	0	0
556	440	0	38	4
557	441	7	21	14
558	442	42	0	0
559	443	10	4	28
560	444	42	0	0
561	445	0	42	0
562	446	0	12	30
563	447	42	0	0
564	448	0	6	36
565	449	0	0	41
566	450	0	14	27
567	451	1	13	27
568	452	0	41	0
569	453	0	0	41
570	454	0	33	8
571	455	0	11	30
572	456	4	20	17
573	457	0	0	40
574	458	0	30	10
575	459	40	0	0
576	460	40	0	0
577	461	1	17	22
578	462	15	11	14
579	463	21	3	16
580	464	0	0	40
581	465	6	17	17
582	466	0	3	37
583	467	40	0	0
584	468	31	2	7
585	469	0	40	0
586	470	39	0	0
587	471	0	39	0
588	472	0	13	26
589	473	2	20	17
590	474	39	0	0
591	475	34	4	1
592	476	39	0	0
593	477	16	23	0
594	478	20	14	5
595	479	3	20	16
596	480	27	8	3
597	481	10	14	14
598	482	32	4	2
599	483	0	16	22
600	484	0	4	34
601	485	0	17	21
602	486	6	15	17
603	487	0	0	38
604	488	4	17	17
605	489	13	11	13
606	490	37	0	0
607	491	37	0	0
608	492	0	37	0
609	493	7	17	13
610	494	0	36	1
611	500	0	37	0
612	495	0	3	34
613	496	37	0	0
614	76	10	18	9
615	497	37	0	0
616	498	37	0	0
617	499	1	18	18
618	501	27	2	7
619	502	36	0	0
620	503	3	6	27
621	504	3	5	28
622	505	0	15	21
623	506	1	13	22
624	507	22	12	2
625	508	36	0	0
626	509	36	0	0
627	510	0	26	10
628	511	0	36	0
629	512	0	3	33
630	518	0	35	0
631	513	0	1	34
632	514	35	0	0
633	515	0	33	2
634	516	0	35	0
635	517	0	30	5
636	519	0	0	35
637	520	0	0	35
638	521	0	8	27
639	522	30	0	5
640	523	34	1	0
641	524	0	3	32
642	525	35	0	0
643	526	3	23	8
644	527	34	0	0
645	528	18	8	8
646	529	34	0	0
647	530	0	34	0
648	531	4	14	16
649	532	0	0	34
650	533	0	31	3
651	534	0	3	31
652	535	5	13	16
653	536	34	0	0
654	537	0	0	34
655	538	0	2	32
656	539	34	0	0
657	540	0	34	0
658	541	2	24	8
659	542	0	18	16
660	543	33	0	0
661	544	15	18	0
662	545	0	18	15
663	546	0	0	33
664	547	33	0	0
665	548	0	11	22
666	549	5	21	7
667	550	33	0	0
668	551	0	28	5
669	552	0	0	33
670	553	0	33	0
671	554	0	14	19
672	555	0	9	23
673	556	0	0	32
674	557	2	18	12
675	558	0	28	4
676	559	12	6	14
677	560	0	4	28
678	561	32	0	0
679	562	2	23	7
680	563	32	0	0
681	564	32	0	0
682	565	6	11	15
683	566	0	6	26
684	567	32	0	0
685	568	4	6	22
686	569	12	18	1
687	570	0	31	0
688	571	0	0	31
689	572	0	0	31
690	573	1	13	17
691	574	0	1	30
692	575	0	0	31
693	576	0	18	13
694	577	0	0	31
695	578	2	25	4
696	579	31	0	0
697	580	1	19	11
698	581	0	0	31
699	582	0	6	24
